"StatusCode","Success","ElapsedMs","Error"
"200","True","1327.6799",
"200","True","1323.7538",
"200","True","1324.5454",
"200","True","1324.4294",
"200","True","1324.3617",
"200","True","1324.3014",
"200","True","1324.1588",
"200","True","1324.0018",
"200","True","1323.8508",
"200","True","1323.7067",
"200","True","1323.4803",
"200","True","1323.3272",
"200","True","1323.1462",
"200","True","1323.0235",
"200","True","1322.8909",
"200","True","1322.7689",
"200","True","1321.9788",
"200","True","1321.5987",
"200","True","1321.3954",
"200","True","1321.1696",
"200","True","13.641",
"200","True","13.1634",
"200","True","13.0203",
"200","True","12.8834",
"200","True","12.7677",
"200","True","12.6622",
"200","True","12.545",
"200","True","12.3992",
"200","True","12.2518",
"200","True","12.0828",
"200","True","11.9322",
"200","True","11.7902",
"200","True","11.6492",
"200","True","11.5093",
"200","True","11.3699",
"200","True","11.2319",
"200","True","11.0947",
"200","True","10.9468",
"200","True","10.8102",
"200","True","10.6768",
"200","True","9.2804",
"200","True","9.3319",
"200","True","9.2344",
"200","True","9.1201",
"200","True","8.9872",
"200","True","8.8459",
"200","True","8.7124",
"200","True","8.5775",
"200","True","8.4626",
"200","True","8.3507",
"200","True","8.1986",
"200","True","8.0832",
"200","True","7.9504",
"200","True","7.8363",
"200","True","7.7117",
"200","True","7.5798",
"200","True","7.4725",
"200","True","7.3346",
"200","True","7.2165",
"200","True","7.058",
"200","True","10.0441",
"200","True","9.9896",
"200","True","9.8364",
"200","True","9.6954",
"200","True","9.5665",
"200","True","9.4377",
"200","True","9.3035",
"200","True","9.1831",
"200","True","9.0432",
"200","True","8.8852",
"200","True","8.7323",
"200","True","8.5903",
"200","True","8.4383",
"200","True","8.2941",
"200","True","8.1274",
"200","True","7.9776",
"200","True","7.8271",
"200","True","7.6697",
"200","True","7.5162",
"200","True","7.3453",
"200","True","10.3528",
"200","True","10.1777",
"200","True","10.0273",
"200","True","9.9128",
"200","True","9.7909",
"200","True","9.6577",
"200","True","9.5327",
"200","True","9.4053",
"200","True","9.2824",
"200","True","9.1388",
"200","True","9.0104",
"200","True","8.8864",
"200","True","8.7511",
"200","True","8.5701",
"200","True","8.3571",
"200","True","8.1776",
"200","True","8.0238",
"200","True","7.8628",
"200","True","7.7187",
"200","True","7.5795",
"200","True","7.9141",
"200","True","7.7682",
"200","True","7.6636",
"200","True","7.5404",
"200","True","7.422",
"200","True","7.2841",
"200","True","7.1165",
"200","True","6.993",
"200","True","6.8625",
"200","True","6.7357",
"200","True","6.5949",
"200","True","6.4487",
"200","True","6.2933",
"200","True","6.1514",
"200","True","6.0101",
"200","True","5.8721",
"200","True","5.7504",
"200","True","5.6055",
"200","True","5.4795",
"200","True","5.3388",
"200","True","10.9039",
"200","True","9.9125",
"200","True","9.128",
"200","True","8.8875",
"200","True","8.7013",
"200","True","8.5422",
"200","True","8.3891",
"200","True","8.2536",
"200","True","8.131",
"200","True","7.9922",
"200","True","7.8586",
"200","True","7.7281",
"200","True","7.5962",
"200","True","7.4783",
"200","True","7.3527",
"200","True","7.1964",
"200","True","7.0523",
"200","True","6.9146",
"200","True","6.7842",
"200","True","6.6575",
"200","True","18.5003",
"200","True","18.2822",
"200","True","18.1447",
"200","True","18.0365",
"200","True","17.9276",
"200","True","17.7776",
"200","True","17.6366",
"200","True","17.4963",
"200","True","17.3653",
"200","True","17.2384",
"200","True","17.1009",
"200","True","16.9652",
"200","True","16.8328",
"200","True","16.6942",
"200","True","16.551",
"200","True","16.4191",
"200","True","16.2675",
"200","True","16.1256",
"200","True","15.983",
"200","True","15.8448",
"200","True","11.6835",
"200","True","11.7206",
"200","True","11.6525",
"200","True","11.5627",
"200","True","11.435",
"200","True","11.3147",
"200","True","11.1975",
"200","True","11.0851",
"200","True","10.956",
"200","True","10.8332",
"200","True","10.6859",
"200","True","10.429",
"200","True","10.2621",
"200","True","10.1485",
"200","True","9.9954",
"200","True","9.7453",
"200","True","9.5278",
"200","True","9.317",
"200","True","9.1453",
"200","True","9.0106",
"200","True","8.3875",
"200","True","8.1414",
"200","True","7.9422",
"200","True","7.8272",
"200","True","7.6862",
"200","True","7.562",
"200","True","7.4417",
"200","True","7.3238",
"200","True","7.1967",
"200","True","7.0795",
"200","True","6.9717",
"200","True","6.8553",
"200","True","6.8027",
"200","True","6.7008",
"200","True","6.5813",
"200","True","6.4673",
"200","True","6.3399",
"200","True","6.2095",
"200","True","6.0982",
"200","True","6.0026",
